[1, 'type ->', '1', 'A man buys an article for 8100 and sells the article for 90. What is the profit percentage?', -98.88888888888889]

[2, 'type ->', '1', 'A man buys an article for 7000 and sells the article for 30. What is the profit percentage?', -99.57142857142857]

[3, 'type ->', '1', 'A man buys an article for 3700 and sells the article for 40. What is the profit percentage?', -98.91891891891892]

[4, 'type ->', '1', 'A man buys an article for 7300 and sells the article for 40. What is the profit percentage?', -99.45205479452055]

[5, 'type ->', '1', 'A man buys an article for 7700 and sells the article for 60. What is the profit percentage?', -99.22077922077922]

[6, 'type ->', '1', 'A man buys an article for 8900 and sells the article for 70. What is the profit percentage?', -99.21348314606742]

[7, 'type ->', '1', 'A man buys an article for 3600 and sells the article for 30. What is the profit percentage?', -99.16666666666667]

[8, 'type ->', '1', 'A man buys an article for 1400 and sells the article for 20. What is the profit percentage?', -98.57142857142858]

[9, 'type ->', '1', 'A man buys an article for 2800 and sells the article for 70. What is the profit percentage?', -97.5]

[10, 'type ->', '1', 'A man buys an article for 7600 and sells the article for 20. What is the profit percentage?', -99.73684210526315]

[11, 'type ->', '1', 'A man buys an article for 5300 and sells the article for 80. What is the profit percentage?', -98.49056603773585]

[12, 'type ->', '2', 'A man buys an article for 8900 and sells the article for 40. What is the loss percentage?', 99.5505617977528]

[13, 'type ->', '2', 'A man buys an article for 5300 and sells the article for 70. What is the loss percentage?', 98.67924528301887]

[14, 'type ->', '2', 'A man buys an article for 3300 and sells the article for 60. What is the loss percentage?', 98.18181818181819]

[15, 'type ->', '2', 'A man buys an article for 6300 and sells the article for 10. What is the loss percentage?', 99.84126984126985]

[16, 'type ->', '2', 'A man buys an article for 6200 and sells the article for 50. What is the loss percentage?', 495.9677419354839]

[17, 'type ->', '2', 'A man buys an article for 7700 and sells the article for 20. What is the loss percentage?', 199.4805194805195]

[18, 'type ->', '2', 'A man buys an article for 8200 and sells the article for 60. What is the loss percentage?', 595.609756097561]

[19, 'type ->', '2', 'A man buys an article for 7800 and sells the article for 50. What is the loss percentage?', 496.7948717948718]

[20, 'type ->', '2', 'A man buys an article for 4500 and sells the article for 100. What is the loss percentage?', 977.7777777777777]

[21, 'type ->', '2', 'A man buys an article for 1900 and sells the article for 10. What is the loss percentage?', 99.47368421052632]

[22, 'type ->', '2', 'A man buys an article for 9300 and sells the article for 50. What is the loss percentage?', 497.31182795698925]

[23, 'type ->', '2', 'A man buys an article for 5200 and sells the article for 40. What is the loss percentage?', 396.9230769230769]

[24, 'type ->', '2', 'A man buys an article for 5500 and sells the article for 20. What is the loss percentage?', 199.27272727272728]

[25, 'type ->', '2', 'A man buys an article for 1700 and sells the article for 30. What is the loss percentage?', 294.70588235294116]

[26, 'type ->', '3', 'A man buys a cycle for 2200 and sells it at a loss of 10%. What is the selling price of the cycle?', 1980.0]

[27, 'type ->', '3', 'A man buys a cycle for 2300 and sells it at a loss of 30%. What is the selling price of the cycle?', 2070.0]

[28, 'type ->', '3', 'A man buys a cycle for 1100 and sells it at a loss of 40%. What is the selling price of the cycle?', 990.0]

