[1, 'A man buys a cycle for 6440 and sells it at a loss of 90%. What is the selling price of the cycle?', 12236.0, '\n']
['options are', 'option a', 12286.0, 'option b', 674.0, 'option c', 744.0, 'answer', 12236.0]
['solution is', ' CP of cycle =6440, loss = 90% SP=6440*(1-(90/100))  =6440*(100-90)/100 =6440*(100-90)/100 Rs', 12236.0]


[2, 'A man buys a cycle for 8520 and sells it at a loss of 75%. What is the selling price of the cycle?', 14910.0, '\n']
['options are', 'option a', 14960.0, 'option b', 2160.0, 'option c', 2230.0, 'answer', 14910.0]
['solution is', ' CP of cycle =8520, loss = 75% SP=8520*(1-(75/100))  =8520*(100-75)/100 =8520*(100-75)/100 Rs', 14910.0]


[3, 'A man buys a cycle for 2590 and sells it at a loss of 45%. What is the selling price of the cycle?', 3755.5, '\n']
['options are', 'option a', 3805.5, 'option b', 1454.5, 'option c', 1524.5, 'answer', 3755.5]
['solution is', ' CP of cycle =2590, loss = 45% SP=2590*(1-(45/100))  =2590*(100-45)/100 =2590*(100-45)/100 Rs', 3755.5]


[4, 'A man buys a cycle for 6180 and sells it at a loss of 100%. What is the selling price of the cycle?', 12360.0, '\n']
['options are', 'option a', 12410.0, 'option b', 30.0, 'option c', 100.0, 'answer', 12360.0]
['solution is', ' CP of cycle =6180, loss = 100% SP=6180*(1-(100/100))  =6180*(100-100)/100 =6180*(100-100)/100 Rs', 12360.0]


[5, 'A man buys a cycle for 9620 and sells it at a loss of 65%. What is the selling price of the cycle?', 15873.0, '\n']
['options are', 'option a', 15923.0, 'option b', 3397.0, 'option c', 3467.0, 'answer', 15873.0]
['solution is', ' CP of cycle =9620, loss = 65% SP=9620*(1-(65/100))  =9620*(100-65)/100 =9620*(100-65)/100 Rs', 15873.0]


[6, 'A man buys a cycle for 2130 and sells it at a loss of 20%. What is the selling price of the cycle?', 2556.0, '\n']
['options are', 'option a', 2606.0, 'option b', 1734.0, 'option c', 1804.0, 'answer', 2556.0]
['solution is', ' CP of cycle =2130, loss = 20% SP=2130*(1-(20/100))  =2130*(100-20)/100 =2130*(100-20)/100 Rs', 2556.0]


[7, 'A man buys a cycle for 8630 and sells it at a loss of 45%. What is the selling price of the cycle?', 12513.5, '\n']
['options are', 'option a', 12563.5, 'option b', 4776.5, 'option c', 4846.5, 'answer', 12513.5]
['solution is', ' CP of cycle =8630, loss = 45% SP=8630*(1-(45/100))  =8630*(100-45)/100 =8630*(100-45)/100 Rs', 12513.5]


[8, 'A man buys a cycle for 9380 and sells it at a loss of 65%. What is the selling price of the cycle?', 15477.0, '\n']
['options are', 'option a', 15527.0, 'option b', 3313.0, 'option c', 3383.0, 'answer', 15477.0]
['solution is', ' CP of cycle =9380, loss = 65% SP=9380*(1-(65/100))  =9380*(100-65)/100 =9380*(100-65)/100 Rs', 15477.0]


[9, 'A man buys a cycle for 8500 and sells it at a loss of 80%. What is the selling price of the cycle?', 15300.0, '\n']
['options are', 'option a', 15350.0, 'option b', 1730.0, 'option c', 1800.0, 'answer', 15300.0]
['solution is', ' CP of cycle =8500, loss = 80% SP=8500*(1-(80/100))  =8500*(100-80)/100 =8500*(100-80)/100 Rs', 15300.0]


[10, 'A man buys a cycle for 8900 and sells it at a loss of 85%. What is the selling price of the cycle?', 16465.0, '\n']
['options are', 'option a', 16515.0, 'option b', 1365.0, 'option c', 1435.0, 'answer', 16465.0]
